halId_s,docType_s,title_s,authFullName_s,producedDate_s,domain_s,journalTitle_s,conferenceTitle_s,language_s,inPress_bool,keyword_s,labStructAcronym_s
hal-02012443,ART,Incremental Sharpe and other performance ratios,"Eric Benhamou,Beatrice Guez",2018,"0.stat,1.stat.ot,0.qfin",Journal of Statistical and Econometric Methods,,en,false,"Treynor,Recovery,Sharpe,Incremental Sharpe ratio,Portfolio diversification,MILES,LAMSADE","LAMSADE,LAMSADE"
hal-03135540,COUV,On Averaging the Best Samples in Evolutionary Computation,"Laurent Meunier,Yann Chevaleyre,Jeremy Rapin,Clément Royer,Olivier Teytaud",2020-09-02,"0.stat,1.stat.ml",,,en,false,,"FAIR,LAMSADE,LAMSADE"
hal-03135526,ART,Trust-Region Newton-CG with Strong Second-Order Complexity Guarantees for Nonconvex Optimization,"Frank Curtis,Daniel Robinson,Clément Royer,Stephen Wright",2021-02-08,"0.math,1.math.math-oc",SIAM Journal on Optimization,,en,false,,"ISE,LAMSADE,LAMSADE"
hal-02895832,COMM,Fréchet Mean Computation in Graph Space through Projected Block Gradient Descent,"Nicolas Boria,Benjamin Negrevergne,Florian Yger",2020,"0.info,0.info,1.info.info-ds,0.info,1.info.info-lg",,ESANN 2020,en,false,,"LAMSADE,LAMSADE"
hal-03118649,COMM,Advocating for Multiple Defense Strategies against Adversarial Examples,"Alexandre Araujo,Laurent Meunier,Rafael Pinot,Benjamin Negrevergne",2020-09-14,"0.info,1.info.info-ai",,Workshop on Machine Learning for CyberSecurity (MLCS@ECML-PKDD),en,false,,"LAMSADE,FAIR,LAMSADE"
hal-03118437,ART,Structural and Algorithmic Properties of 2-Community Structures,"Cristina Bazgan,Janka Chlebikova,Thomas Pontoizeau",2018-06,"0.info,0.info,1.info.info-dm",Algorithmica,,en,false,,LAMSADE
hal-03118402,ART,Enumeration of the Nondominated Set of Multiobjective Discrete Optimization Problems,"Satya Tamby,Daniel Vanderpooten",2021,"0.info,1.info.info-ro",INFORMS Journal on Computing,,en,true,,LAMSADE
hal-02517252,ART,Implementing Pareto Optimal and Individually Rational Outcomes by Veto,M. Remzi Sanver,2018-04,"0.shs,0.shs,1.shs.eco",Group Decision and Negotiation,,en,false,,LAMSADE
halshs-02353933,COMM,L'expulsion des habitants du bois Lejuc peut-elle être une erreur ?,Juliette Rouchier,2018-10-16,"0.shs,1.shs.envir,0.shs,1.shs.gestion",,RIODD,fr,false,,LAMSADE
hal-02309504,COMM,Using User Contextual Profile for Recommendation in Collaborations,"Siying Li,Marie-Hélène Abel,Elsa Negre",2019-04,0.info,,Research & Innovation Forum 2019,en,false,En attente,LAMSADE
